,comment
0,"Response 1: i wonder how many of you know that many human trials happen in africa.  why? just in case the numbers are not good. and you know that that means, for both them and you, right. 
 Response 2: i had the pleasure of hearing brother steindl-rast on kauai this winter.  his talk about gratitude was so inspiring - and so are your beautiful photographs.  it did my heart good to be reminded of this very simple act to bring joy into my life."
1,"Response 1: no matter how confident you are , there are times when you doubt yourself and lose sight of your dream. this talk is perfect for getting you back on track. 
 Response 2: i think introverts are quiet people. they don't feel shy to be alone and that is their biggest power because when you are alone, you meet yourself."
2,"Response 1: i really enjoyed this video and i definitely agree with her. however, the problem with gaming today is that people get addicted to it and they sacrifice their real life friends, physical activity, and family to play wow or go on a raid. great video. 
 Response 2: i wonder how many of you know that many human trials happen in africa.  why? just in case the numbers are not good. and you know that that means, for both them and you, right."
3,"Response 1: at 5:00, look in the lower left quarter of the screen.  look at the old dude with glasses and a pink shirt clap.  you can tell he has absolutely no idea what's going on. 
 Response 2: if mrs. goodall travels 300 days a year as she says her ecological footprint must be gigantic. thus i humbly doubt the seriousness of her environmental commitment."
4,"Response 1: okay i'm a gamer and i'm passionate about it but your conference is just not convincing enough. your claims are so big but your supporting ideas are suffering from lack of reality.  you might be right, but you just couldn't show it to me. 
 Response 2: i wish my naughty labrador rumi could be trained by ian! still i love her and she does understand english - sit, biscuit, food, ball are all very clear to her."
5,"Response 1: i too was a little sceptical at first, i thought the intro was a little cheesy, but when she knuckled down and started revealing her message it turned out to be one of the best talks ive seen! favourited. 
 Response 2: i think introverts are quiet people. they don't feel shy to be alone and that is their biggest power because when you are alone, you meet yourself."
6,"Response 1: his language is at the same level as the archutecture and city planning he reffers to. and of course, insult the bulgarians while you're at it... he does have a point, but the delivery is so crass... 
 Response 2: brilliant. still ....if he says it is actually cheap technology, why are they charging so much for computer interfaces such as the jazz mutant lemur & dexter, monome & tendori-on."
7,"Response 1: i wish my naughty labrador rumi could be trained by ian! still i love her and she does understand english - sit, biscuit, food, ball are all very clear to her. 
 Response 2: his language is at the same level as the archutecture and city planning he reffers to. and of course, insult the bulgarians while you're at it... he does have a point, but the delivery is so crass..."
8,"Response 1: i agree with her, cuz dissent is a need today, before iraq war , bush did  blindly what his few experts told him to do , but they were all wrong 
 Response 2: i too was a little sceptical at first, i thought the intro was a little cheesy, but when she knuckled down and started revealing her message it turned out to be one of the best talks ive seen! favourited."
9,"Response 1: at 5:00, look in the lower left quarter of the screen.  look at the old dude with glasses and a pink shirt clap.  you can tell he has absolutely no idea what's going on. 
 Response 2: he take a shot at iceland.  they told people who talk like him to get out of power and head to jail.  they are doing fine.  his prescription is toward disaster for real people.  that is us."
10,"Response 1: a bright, delightful gentleman, but missing the point.  when you lose your precious data, you lose your visualization.  then what do you have?  by the way, all of america's wealth can go to zero in the blink of an eye.  bibbity-bobbity-boo! 
 Response 2: total flop. i think i would've liked a little history about the people she spoke of. i knew none of them or anything about them; or her. i did like the broken japanese vase, and her unbroken one. i also liked her mentioning of the void!"
11,"Response 1: he has something strange in his voice, now main brains huuurts. 
 Response 2: amazing , amaazing may god bless you more , it is so inspiring, and touchy may you get the help you need and help more people with your work."
